ID,Product Name,Category,Price,Quantity,Sales Amount,Date
85,Tablet,Electronics,297.83,5,1489.15,2025-06-30
86,Project Management Tool,Software,71.81,6,430.86,2023-12-23
87,Tablet,Electronics,460.89,3,1382.67,2025-03-12
88,Ergonomic Chair,Office Supplies,201.02,4,804.08,2025-10-12
89,USB-C Hub,Hardware,196.3,1,196.3,2023-12-02
90,USB-C Hub,Hardware,282.67,8,2261.36,2023-06-09
91,Mechanical Keyboard,Hardware,47.27,3,141.81,2024-01-15
92,Cloud Storage Subscription,Software,45.45,2,90.9,2025-12-02
93,Wireless Earbuds,Electronics,883.01,1,883.01,2025-01-23
94,Whiteboard,Office Supplies,16.75,2,33.5,2025-08-27
95,Cloud Storage Subscription,Software,110.58,8,884.64,2025-04-05
96,External Hard Drive,Hardware,91.79,5,458.95,2025-10-17
97,Wireless Earbuds,Electronics,450.02,8,3600.16,2025-09-04
98,Antivirus Suite,Software,51.02,7,357.14,2023-02-06
99,Smartphone,Electronics,303.12,1,303.12,2025-05-16
100,Tablet,Electronics,520.05,3,1560.15,2024-12-29
